index;PDB ID;Dek's category;Classification;Date;Authors;DOI;Pubmed ID
111;2MQ8;original de novo design;DE NOVO PROTEIN             ;12-JUN-14;G.LIU,Y.LIN,N.KOGA,R.KOGA,R.XIAO,H.JANJUA,K.PEDERSON,T.B.ACTON,       G.KORNHABER,J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL  GENOMICS CONSORTIUM (NESG)                                          ;http://dx.doi.org/10.1073/pnas.1509508112;26396255.0
112;2MUZ;original de novo design;DE NOVO PROTEIN             ;18-SEP-14;T.WANG,N.JOH,Y.WU,W.F.DEGRADO,M.HONG                                 ;http://dx.doi.org/10.1126/science.1261172;25525248.0
113;2N1E;original de novo design;PROTEIN FIBRIL             ;30-MAR-15;K.NAGY-SMITH,E.MOORE,J.SCHNEIDER,R.TYCKO                             ;http://dx.doi.org/10.1073/pnas.1509313112;26216960.0
114;2N4N;small, non-systematic, and other;DE NOVO PROTEIN             ;24-JUN-15;V.M.KUNG,G.CORNILESCU,S.H.GELLMAN                                    ;http://dx.doi.org/10.1002/anie.201506448;26457984.0
115;2N6H;small, non-systematic, and other;DE NOVO PROTEIN             ;20-AUG-15;V.M.KUNG,G.CORNILESCU,S.H.GELLMAN                                    ;http://dx.doi.org/10.1002/anie.201506448;26457984.0
116;2N6I;small, non-systematic, and other;DE NOVO PROTEIN             ;20-AUG-15;V.M.KUNG,G.CORNILESCU,S.H.GELLMAN                                    ;http://dx.doi.org/10.1002/anie.201506448;26457984.0
117;2N8D;original de novo design;DE NOVO PROTEIN, ANTIMICROBIAL PEPTIDE ;13-OCT-15;M.PILLONG,M.BLATTER,G.SCHNEIDER                                      ;http://dx.doi.org/10.1002/smll.201701316;28799716.0
118;2N8I;original de novo design;DE NOVO PROTEIN             ;15-OCT-15;X.XU,A.ELETSKY,J.F.FEDERIZON,T.M.JACOBS,B.KUHLMAN,T.SZYPERSKI,        NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)                     ;http://dx.doi.org/10.1126/science.aad8036;27151863.0
119;2N8W;original de novo design;DE NOVO PROTEIN             ;27-OCT-15;A.ELETSKY,J.F.FEDERIZON,X.XU,S.PULAVARTI,T.M.JACOBS,B.KUHLMAN,        T.SZYPERSKI,NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)         ;http://dx.doi.org/10.1126/science.aad8036;27151863.0
120;5E6G;original de novo design;DE NOVO PROTEIN             ;09-OCT-15;T.M.JACOBS,T.WILLIAMS,B.KUHLMAN                                      ;http://dx.doi.org/10.1126/science.aad8036;27151863.0
121;2NBL;small, non-systematic, and other;DE NOVO PROTEIN             ;05-MAR-16;V.M.KUNG                                                             ;;
122;2O6N;relative of another de novo design;DE NOVO PROTEIN             ;07-DEC-06;M.SALES,T.ALBER                                                      ;http://dx.doi.org/10.1110/ps.062702907;17766380.0
123;2P0X;evolved;DE NOVO PROTEIN             ;01-MAR-07;S.S.MANSY,J.W.SZOSTAK,J.C.CHAPUT                                     ;http://dx.doi.org/10.1016/j.jmb.2007.05.062;17583732.0
124;2QYJ;relative of another de novo design;DE NOVO PROTEIN             ;15-AUG-07;T.MERZ                                                               ;http://dx.doi.org/10.1016/j.jmb.2007.11.047;18155045.0
125;2RT4;engineered;DE NOVO PROTEIN             ;18-APR-13;H.WATANABE,K.YAMASAKI,S.HONDA                                        ;http://dx.doi.org/10.1074/jbc.M113.530592;24356963.0
126;2WQH;relative of another de novo design;DE NOVO PROTEIN             ;21-AUG-09;A.M.KRACHLER,A.SHARMA,C.KLEANTHOUS                                   ;http://dx.doi.org/10.1002/prot.22726;20455268.0
127;2X6P;relative of another de novo design;DE NOVO PROTEIN             ;18-FEB-10;S.CHAKRABORTY,D.S.TOUW,A.F.A.PEACOCK,J.A.STUCKEY,                     V.L.PECORARO                                                        ;http://dx.doi.org/10.1021/ja101812c;20825181.0
128;2XEH;relative of another de novo design;DE NOVO PROTEIN             ;14-MAY-10;M.KRAMER,S.K.WETZEL,A.PLUCKTHUN,P.MITTL,M.GRUTTER                    ;http://dx.doi.org/10.1016/j.jmb.2010.09.023;20851127.0
129;2XEN;relative of another de novo design;DE NOVO PROTEIN             ;17-MAY-10;M.KRAMER,S.K.WETZEL,A.PLUCKTHUN,P.MITTL,M.GRUTTER                    ;http://dx.doi.org/10.1016/j.jmb.2010.09.023;20851127.0
130;2XEE;relative of another de novo design;DE NOVO PROTEIN             ;14-MAY-10;M.KRAMER,S.K.WETZEL,A.PLUCKTHUN,P.MITTL,M.GRUTTER                    ;http://dx.doi.org/10.1016/j.jmb.2010.09.023;20851127.0
131;3AL1;relative of another de novo design;STRUCTURAL PROTEIN           ;26-OCT-98;W.R.PATTERSON,D.H.ANDERSON,W.F.DEGRADO,D.CASCIO,D.EISENBERG          ;http://dx.doi.org/10.1110/ps.8.7.1410;10422829.0
132;3CAY;original de novo design;DE NOVO PROTEIN             ;20-FEB-08;D.N.HO,N.C.POMROY,J.A.CUESTA-SEIJO,G.G.PRIVE                         ;http://dx.doi.org/10.1073/pnas.0801941105;18753631.0
133;3H5F;relative of another de novo design;DE NOVO PROTEIN             ;22-APR-09;A.F.A.PEACOCK,J.A.STUCKEY,V.L.PECORARO                               ;http://dx.doi.org/10.1002/anie.200902166;19579245.0
134;3H5G;relative of another de novo design;DE NOVO PROTEIN             ;22-APR-09;A.F.A.PEACOCK,J.A.STUCKEY,V.L.PECORARO                               ;http://dx.doi.org/10.1002/anie.200902166;19579245.0
135;3J89;original de novo design;SYNTHETIC PEPTIDE            ;07-OCT-14;E.H.EGELMAN,C.XU,F.DIMAIO,E.MAGNOTTI,C.MODLIN,X.YU,E.WRIGHT,D.BAKER,  V.P.CONTICELLO                                                      ;http://dx.doi.org/10.1016/j.str.2014.12.008;25620001.0
136;3LJM;relative of another de novo design;DE NOVO PROTEIN             ;26-JAN-10;S.CHAKRABORTY                                                        ;http://dx.doi.org/10.1021/ja101812c;20825181.0
137;3LTJ;original de novo design;PROTEIN BINDING             ;16-FEB-10;A.URVOAS,A.GUELLOUZ,M.GRAILLE,H.VAN TILBEURGH,M.DESMADRIL,P.MINARD   ;http://dx.doi.org/10.1016/j.jmb.2010.09.048;20887736.0
138;3LTM;original de novo design;PROTEIN BINDING             ;16-FEB-10;A.URVOAS,A.GUELLOUZ,M.GRAILLE,H.VAN TILBEURGH,M.DESMADRIL,P.MINARD   ;http://dx.doi.org/10.1016/j.jmb.2010.09.048;20887736.0
139;3NI3;small, non-systematic, and other;UNKNOWN FUNCTION            ;15-JUN-10;M.R.SAWAYA,D.EISENBERG,J.S.NOWICK,T.P.KORMAN,O.KHAKSHOOR             ;http://dx.doi.org/10.1021/ja103438w;20669960.0
140;3OVJ;small, non-systematic, and other;PROTEIN FIBRIL             ;16-SEP-10;M.LANDAU,D.EISENBERG                                                 ;http://dx.doi.org/10.1371/journal.pbio.1001080;21695112.0
141;3OW9;small, non-systematic, and other;PROTEIN FIBRIL             ;17-SEP-10;M.LANDAU,D.EISENBERG                                                 ;http://dx.doi.org/10.1073/pnas.1112600108;21949245.0
142;3P6I;relative of another de novo design;DE NOVO PROTEIN             ;11-OCT-10;M.BLABER,J.LEE                                                       ;;
143;3P6J;relative of another de novo design;DE NOVO PROTEIN             ;11-OCT-10;M.BLABER,J.LEE                                                       ;;
144;3Q7W;evolved;DE NOVO PROTEIN             ;05-JAN-11;M.BLABER,J.LEE                                                       ;http://dx.doi.org/10.1073/pnas.1219530110;23341608.0
145;3Q7X;relative of another de novo design;DE NOVO PROTEIN             ;05-JAN-11;M.BLABER,J.LEE                                                       ;http://dx.doi.org/10.1073/pnas.1219530110;23341608.0
146;3Q7Y;relative of another de novo design;DE NOVO PROTEIN             ;05-JAN-11;M.BLABER,J.LEE                                                       ;http://dx.doi.org/10.1073/pnas.1219530110;23341608.0
147;3R3K;original de novo design;DE NOVO PROTEIN             ;16-MAR-11;N.R.ZACCAI,B.H.C.CHI,D.N.WOOLFSON,R.L.BRADY                          ;http://dx.doi.org/10.1038/nchembio.692;22037471.0
148;3R46;relative of another de novo design;DE NOVO PROTEIN             ;17-MAR-11;N.R.ZACCAI,B.H.C.CHI,D.N.WOOLFSON,R.L.BRADY                          ;http://dx.doi.org/10.1038/nchembio.692;22037471.0
149;3R47;relative of another de novo design;DE NOVO PROTEIN             ;17-MAR-11;N.R.ZACCAI,B.H.C.CHI,D.N.WOOLFSON,R.L.BRADY                          ;http://dx.doi.org/10.1038/nchembio.692;22037471.0
150;3R48;original de novo design;DE NOVO PROTEIN             ;17-MAR-11;N.R.ZACCAI,B.H.C.CHI,D.N.WOOLFSON,R.L.BRADY                          ;http://dx.doi.org/10.1038/nchembio.692;22037471.0
151;3R4A;original de novo design;DE NOVO PROTEIN             ;17-MAR-11;N.R.ZACCAI,B.H.C.CHI,D.N.WOOLFSON,R.L.BRADY                          ;http://dx.doi.org/10.1038/nchembio.692;22037471.0
152;3R4H;relative of another de novo design;DE NOVO PROTEIN             ;17-MAR-11;N.R.ZACCAI,B.H.C.CHI,D.N.WOOLFSON,R.L.BRADY                          ;http://dx.doi.org/10.1038/nchembio.692;22037471.0
153;3RA3;relative of another de novo design;DE NOVO PROTEIN             ;27-MAR-11;N.R.ZACCAI,T.H.SHARP,M.BRUNING,D.N.WOOLFSON,R.L.BRADY                ;http://dx.doi.org/10.1073/pnas.1118622109;22847414.0
154;3RFS;original de novo design;PROTEIN BINDING             ;06-APR-11;H.J.KIM,H.K.CHEONG,Y.H.JEON                                          ;http://dx.doi.org/10.1073/pnas.1113193109;22328160.0
155;3RFJ;original de novo design;PROTEIN BINDING             ;06-APR-11;H.J.KIM,H.K.CHEONG,Y.H.JEON                                          ;http://dx.doi.org/10.1073/pnas.1113193109;22328160.0
156;3S0R;original de novo design;DE NOVO PROTEIN             ;13-MAY-11;R.ACHARYA,G.GRIGORYAN,Y.H.KIM,W.F.DEGRADO                            ;http://dx.doi.org/10.1126/science.1198841;21617073.0
157;3T4F;relative of another de novo design;BIOSYNTHETIC PROTEIN          ;25-JUL-11;J.A.FALLAS,J.DONG,M.D.MILLER,Y.J.TAO,J.D.HARTGERINK                  ;http://dx.doi.org/10.1074/jbc.M111.296574;22179819.0
158;3TWE;relative of another de novo design;UNKNOWN FUNCTION            ;21-SEP-11;B.C.BUER,J.L.MEAGHER,J.A.STUCKEY,E.N.G.MARSH                         ;http://dx.doi.org/10.1073/pnas.1120112109;22411812.0
159;3TWF;relative of another de novo design;UNKNOWN FUNCTION            ;21-SEP-11;B.C.BUER,J.L.MEAGHER,J.A.STUCKEY,E.N.G.MARSH                         ;http://dx.doi.org/10.1073/pnas.1120112109;22411812.0
160;3TWG;relative of another de novo design;UNKNOWN FUNCTION            ;21-SEP-11;B.C.BUER,J.L.MEAGHER,J.A.STUCKEY,E.N.G.MARSH                         ;http://dx.doi.org/10.1073/pnas.1120112109;22411812.0
161;3U1O;engineered;HYDROLASE                ;30-SEP-11;A.KUZIN,M.SU,S.LEW,F.FOROUHAR,J.SEETHARAMAN,P.DAYA,R.XIAO,            C.CICCOSANTI,F.RICHTER,J.K.EVERETT,T.B.ACTON,D.BAKER,G.T.MONTELIONE, J.F.HUNT,L.TONG,NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)     ;http://dx.doi.org/10.1021/ja3037367;22871159.0
162;3U1V;engineered;STRUCTURAL GENOMICS, UNKNOWN FUNCTION  ;30-SEP-11;A.KUZIN,M.SU,S.M.VOROBIEV,J.SEETHARAMAN,D.PATEL,R.XIAO,C.CICCOSANTI,  F.RICHTER,J.K.EVERETT,T.B.ACTON,D.BAKER,G.T.MONTELIONE,J.F.HUNT,     L.TONG,NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)              ;http://dx.doi.org/10.1021/ja3037367;22871159.0
163;3U29;relative of another de novo design;BIOSYNTHETIC PROTEIN          ;02-OCT-11;J.A.FALLAS,J.DONG,M.D.MILLER,Y.J.TAO,J.D.HARTGERINK                  ;http://dx.doi.org/10.1074/jbc.M111.296574;22179819.0
164;3VJF;original de novo design;DE NOVO PROTEIN             ;18-OCT-11;R.ARAI,A.KIMURA,N.KOBAYASHI,K.MATSUO,T.SATO,A.F.WANG,J.M.PLATT,       L.H.BRADLEY,M.H.HECHT                                               ;http://dx.doi.org/10.1021/jp212438h;22397676.0
165;3V45;engineered;DE NOVO PROTEIN             ;14-DEC-11;A.KUZIN,M.SU,J.SEETHARAMAN,M.MAGLAQUI,R.XIAO,E.KOHAN,S.RAJAGOPALAN,   J.K.EVERETT,R.NAIR,T.B.ACTON,B.ROST,D.BAKER,G.T.MONTELIONE,L.TONG,   J.F.HUNT,NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)            ;http://dx.doi.org/10.1038/nchembio.1498;24705591.0
166;3V86;original de novo design;DE NOVO PROTEIN             ;22-DEC-11;R.ACHARYA,B.NORTH,J.SAVEN,W.DEGRADO                                  ;http://dx.doi.org/10.1073/pnas.1112595109;22538812.0
167;3WN8;relative of another de novo design;STRUCTURAL PROTEIN           ;06-DEC-13;K.OKUYAMA,M.HAGA,K.NOGUCHI,T.TANAKA                                  ;http://dx.doi.org/10.1002/bip.22478;24615532.0
168;3WW7;original de novo design;DE NOVO PROTEIN             ;17-JUN-14;A.R.D.VOET,H.NOGUCHI,C.ADDY,D.SIMONCINI,D.TERADA,S.UNZAI,S.Y.PARK,    K.Y.J.ZHANG,J.R.H.TAME                                              ;http://dx.doi.org/10.1073/pnas.1412768111;25288768.0
169;3WW8;relative of another de novo design;DE NOVO PROTEIN             ;17-JUN-14;A.R.D.VOET,H.NOGUCHI,C.ADDY,D.SIMONCINI,D.TERADA,S.UNZAI,S.Y.PARK,    K.Y.J.ZHANG,J.R.H.TAME                                              ;http://dx.doi.org/10.1073/pnas.1412768111;25288768.0
170;3WW9;relative of another de novo design;DE NOVO PROTEIN             ;17-JUN-14;A.R.D.VOET,H.NOGUCHI,C.ADDY,D.SIMONCINI,D.TERADA,S.UNZAI,S.Y.PARK,    K.Y.J.ZHANG,J.R.H.TAME                                              ;http://dx.doi.org/10.1073/pnas.1412768111;25288768.0
171;3WWA;relative of another de novo design;DE NOVO PROTEIN             ;17-JUN-14;A.R.D.VOET,H.NOGUCHI,C.ADDY,D.SIMONCINI,D.TERADA,S.UNZAI,S.Y.PARK,    K.Y.J.ZHANG,J.R.H.TAME                                              ;http://dx.doi.org/10.1073/pnas.1412768111;25288768.0
172;3WWB;relative of another de novo design;DE NOVO PROTEIN             ;17-JUN-14;A.R.D.VOET,H.NOGUCHI,C.ADDY,D.SIMONCINI,D.TERADA,S.UNZAI,S.Y.PARK,    K.Y.J.ZHANG,J.R.H.TAME                                              ;http://dx.doi.org/10.1073/pnas.1412768111;25288768.0
173;3WWF;relative of another de novo design;DE NOVO PROTEIN             ;17-JUN-14;A.R.D.VOET,H.NOGUCHI,C.ADDY,D.SIMONCINI,D.TERADA,S.UNZAI,S.Y.PARK,    K.Y.J.ZHANG,J.R.H.TAME                                              ;http://dx.doi.org/10.1073/pnas.1412768111;25288768.0
174;4DAC;relative of another de novo design;DE NOVO PROTEIN             ;12-JAN-12;C.J.LANCI,C.M.MACDERMAID,J.G.SAVEN                                   ;http://dx.doi.org/10.1073/pnas.1112595109;22538812.0
175;4DBA;relative of another de novo design;DE NOVO PROTEIN             ;13-JAN-12;C.MADHURANTAKAM,G.VARADAMSETTY,M.G.GRUTTER,A.PLUCKTHUN,P.R.E.MITTL   ;http://dx.doi.org/10.1002/pro.2085;22544642.0
176;4DB6;relative of another de novo design;DE NOVO PROTEIN             ;13-JAN-12;C.MADHURANTAKAM,G.VARADAMSETTY,M.G.GRUTTER,A.PLUCKTHUN,P.R.E.MITTL   ;http://dx.doi.org/10.1002/pro.2085;22544642.0
177;4DB8;relative of another de novo design;DE NOVO PROTEIN             ;13-JAN-12;C.MADHURANTAKAM,G.VARADAMSETTY,M.G.GRUTTER,A.PLUCKTHUN,P.R.E.MITTL   ;http://dx.doi.org/10.1002/pro.2085;22544642.0
178;4DB9;relative of another de novo design;DE NOVO PROTEIN             ;13-JAN-12;C.MADHURANTAKAM,G.VARADAMSETTY,M.G.GRUTTER,A.PLUCKTHUN,P.R.E.MITTL   ;http://dx.doi.org/10.1002/pro.2085;22544642.0
179;4DZK;relative of another de novo design;DE NOVO PROTEIN             ;01-MAR-12;M.BRUNING,A.R.THOMSON,N.R.ZACCAI,R.L.BRADY,D.N.WOOLFSON              ;http://dx.doi.org/10.1021/sb300028q;23651206.0
180;4DZL;original de novo design;DE NOVO PROTEIN             ;01-MAR-12;M.BRUNING,A.R.THOMSON,N.R.ZACCAI,R.L.BRADY,D.N.WOOLFSON              ;http://dx.doi.org/10.1021/sb300028q;23651206.0
181;4DZM;original de novo design;DE NOVO PROTEIN             ;01-MAR-12;M.BRUNING,A.R.THOMSON,N.R.ZACCAI,R.L.BRADY,D.N.WOOLFSON              ;http://dx.doi.org/10.1021/sb300028q;23651206.0
182;4DZN;relative of another de novo design;DE NOVO PROTEIN             ;01-MAR-12;M.BRUNING,A.R.THOMSON,N.R.ZACCAI,R.L.BRADY,D.N.WOOLFSON              ;http://dx.doi.org/10.1021/sb300028q;23651206.0
183;4E0K;small, non-systematic, and other;PROTEIN FIBRIL             ;04-MAR-12;M.ZHAO,C.LIU,M.R.SAWAYA,D.EISENBERG                                  ;http://dx.doi.org/10.1073/pnas.1218792109;23213214.0
184;4E0L;small, non-systematic, and other;PROTEIN FIBRIL             ;04-MAR-12;M.ZHAO,C.LIU,S.R.MICHAEL,D.EISENBERG                                 ;http://dx.doi.org/10.1073/pnas.1218792109;23213214.0
185;4E0M;small, non-systematic, and other;PROTEIN FIBRIL             ;04-MAR-12;M.ZHAO,C.LIU,S.R.MICHAEL,D.EISENBERG                                 ;http://dx.doi.org/10.1073/pnas.1218792109;23213214.0
186;4E0N;small, non-systematic, and other;PROTEIN FIBRIL             ;04-MAR-12;M.ZHAO,C.LIU,S.R.MICHAEL,D.EISENBERG                                 ;http://dx.doi.org/10.1073/pnas.1218792109;23213214.0
187;4E0O;small, non-systematic, and other;PROTEIN FIBRIL             ;04-MAR-12;M.ZHAO,C.LIU,M.R.SAWAYA,D.EISENBERG                                  ;http://dx.doi.org/10.1073/pnas.1218792109;23213214.0
188;4E88;engineered;HYDROLASE                ;19-MAR-12;A.KUZIN,M.SU,J.SEETHARAMAN,X.XIAO,S.SAHDEV,C.CICCOSANTI,F.RICHTER,    J.K.EVERETT,T.B.ACTON,G.T.MONTELIONE,J.F.HUNT,L.TONG,NORTHEAST       STRUCTURAL GENOMICS CONSORTIUM (NESG)                               ;;
189;4ESS;engineered;DE NOVO PROTEIN, HYDROLASE       ;23-APR-12;A.KUZIN,M.SU,J.SEETHARAMAN,K.KORNHABER,G.KORNHABER,S.RAJAGOPALAN,     D.BAKER,J.K.EVERETT,T.B.ACTON,G.T.MONTELIONE,L.TONG,J.F.HUNT,        NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)                     ;http://dx.doi.org/10.1038/nchembio.1498;24705591.0
190;4G1A;original de novo design;METAL BINDING PROTEIN          ;10-JUL-12;S.NI,M.A.KENNEDY,M.Y.OGAWA                                           ;http://dx.doi.org/10.1016/j.jinorgbio.2012.10.010;23160144.0
191;4G3B;relative of another de novo design;DE NOVO PROTEIN             ;13-JUL-12;B.C.BUER,J.L.MEAGHER,J.A.STUCKEY,E.N.G.MARSH                         ;http://dx.doi.org/10.1002/pro.2150;22930450.0
192;4G4L;relative of another de novo design;DE NOVO PROTEIN             ;16-JUL-12;B.C.BUER,J.L.MEAGHER,J.A.STUCKEY,E.N.G.MARSH                         ;http://dx.doi.org/10.1002/pro.2150;22930450.0
193;4G4M;relative of another de novo design;DE NOVO PROTEIN             ;16-JUL-12;B.C.BUER,J.L.MEAGHER,J.A.STUCKEY,E.N.G.MARSH                         ;http://dx.doi.org/10.1002/pro.2150;22930450.0
194;4GVW;engineered;DE NOVO PROTEIN, HYDROLASE       ;31-AUG-12;A.KUZIN,S.LEW,J.SEETHARAMAN,S.RAJAGOPALAN,J.K.EVERETT,T.B.ACTON,      G.T.MONTELIONE,L.TONG,J.F.HUNT,NORTHEAST STRUCTURAL GENOMICS         CONSORTIUM (NESG)                                                   ;;
195;4H7R;relative of another de novo design;DE NOVO PROTEIN             ;20-SEP-12;B.CHI,N.R.ZACCAI,R.L.BRADY,D.N.WOOLFSON                              ;;
196;4H8F;relative of another de novo design;DE NOVO PROTEIN             ;22-SEP-12;B.CHI,N.R.ZACCAI,R.L.BRADY,D.N.WOOLFSON                              ;;
197;4H8G;relative of another de novo design;DE NOVO PROTEIN             ;22-SEP-12;B.CHI,N.R.ZACCAI,R.L.BRADY,D.N.WOOLFSON                              ;;
198;4H8L;relative of another de novo design;DE NOVO PROTEIN             ;23-SEP-12;B.CHI,N.R.ZACCAI,R.L.BRADY,D.N.WOOLFSON                              ;;
199;4H8M;relative of another de novo design;DE NOVO PROTEIN             ;23-SEP-12;B.CHI,N.R.ZACCAI,R.L.BRADY,D.N.WOOLFSON                              ;;
200;4H8O;relative of another de novo design;DE NOVO PROTEIN             ;23-SEP-12;B.CHI,N.R.ZACCAI,R.L.BRADY,D.N.WOOLFSON                              ;;
201;4IVH;small, non-systematic, and other;DE NOVO PROTEIN             ;22-JAN-13;J.D.PHAM,N.CHIM,C.W.GOULDING,J.S.NOWICK                              ;;
202;4J4Z;engineered;STRUCTURAL GENOMICS, UNKNOWN FUNCTION  ;07-FEB-13;A.P.KUZIN,S.LEW,S.RAJAGOPALAN,M.MAGLAQUI,R.XIAO,D.LEE,J.K.EVERETT,    T.B.ACTON,D.BAKER,G.T.MONTELIONE,L.TONG,J.F.HUNT,NORTHEAST           STRUCTURAL GENOMICS CONSORTIUM (NESG)                               ;;
203;4JBC;engineered;STRUCTURAL GENOMICS, UNKNOWN FUNCTION  ;19-FEB-13;A.KUZIN,S.LEW,S.RAJAGOPALAN,J.SEETHARAMAN,M.MAGLAQUI,R.XIAO,D.LEE,    J.K.EVERETT,T.B.ACTON,G.T.MONTELIONE,L.TONG,D.BAKER,J.F.HUNT,        NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)                     ;;
204;4JXI;engineered;STRUCTURAL GENOMICS, UNKNOWN FUNCTION  ;28-MAR-13;A.KUZIN,M.D.SMITH,F.RICHTER,S.LEW,R.SEETHARAMAN,C.BRYAN,Z.LECH,       G.KISS,R.MORETTI,M.MAGLAQUI,R.XIAO,E.KOHAN,M.SMITH,J.K.EVERETT,      R.NGUYEN,V.PANDE,D.HILVERT,G.KORNHABER,D.BAKER,G.T.MONTELIONE,       J.F.HUNT,L.TONG,NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)     ;;
205;4JLR;original de novo design;IMMUNE SYSTEM              ;12-MAR-13;P.B.RUPERT,B.CORREIA,W.SCHIEF,R.K.STRONG                             ;http://dx.doi.org/10.1038/nature12966;24499818.0
206;4N9G;original de novo design;IMMUNE SYSTEM              ;21-OCT-13;C.T.D.CARRICO,R.K.STRONG                                             ;http://dx.doi.org/10.1038/nature12966;24499818.0
207;4L8I;original de novo design;IMMUNE SYSTEM              ;17-JUN-13;J.JARDINE,C.CORRENTI,M.A.HOLMES,R.K.STRONG,W.R.SCHIEF                ;http://dx.doi.org/10.1038/nature12966;24499818.0
208;4K0C;engineered;STRUCTURAL GENOMICS, UNKNOWN FUNCTION  ;03-APR-13;A.KUZIN,S.LEW,S.RAJAGOPALAN,J.SEETHARAMAN,M.MAGLAQUI,R.XIAO,D.LEE,    J.K.EVERETT,T.B.ACTON,D.BAKER,G.T.MONTELIONE,L.TONG,J.F.HUNT,        NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)                     ;;
209;4O60;relative of another de novo design;DE NOVO PROTEIN             ;20-DEC-13;A.S.ETHAYATHULLA,L.GUAN                                              ;http://dx.doi.org/10.1038/srep08070;25627011.0
210;4P6J;relative of another de novo design;DE NOVO PROTEIN             ;25-MAR-14;N.H.JOH,R.ACHARYA,W.F.DEGRADO                                        ;http://dx.doi.org/10.1126/science.1261172;25525248.0
211;4P6K;relative of another de novo design;DE NOVO PROTEIN             ;25-MAR-14;N.H.JOH,R.ACHARYA,W.F.DEGRADO                                        ;http://dx.doi.org/10.1126/science.1261172;25525248.0
212;4P6L;relative of another de novo design;DE NOVO PROTEIN             ;25-MAR-14;N.H.JOH,R.ACHARYA,W.F.DEGRADO                                        ;http://dx.doi.org/10.1126/science.1261172;25525248.0
213;4PN8;original de novo design;DE NOVO PROTEIN             ;23-MAY-14;C.W.WOOD,A.J.BURTON,A.R.THOMSON,R.L.BRADY,D.N.WOOLFSON               ;http://dx.doi.org/10.1126/science.1257452;25342807.0
214;4PN9;original de novo design;DE NOVO PROTEIN             ;23-MAY-14;C.W.WOOD,A.J.BURTON,A.R.THOMSON,R.L.BRADY,D.N.WOOLFSON               ;http://dx.doi.org/10.1126/science.1257452;25342807.0
215;4PNA;original de novo design;DE NOVO PROTEIN             ;23-MAY-14;A.J.BURTON,C.W.WOOD,A.R.THOMSON,R.L.BRADY,D.N.WOOLFSON               ;http://dx.doi.org/10.1126/science.1257452;25342807.0
216;4PNB;relative of another de novo design;DE NOVO PROTEIN             ;23-MAY-14;C.W.WOOD,A.J.BURTON,A.R.THOMSON,R.L.BRADY,D.N.WOOLFSON               ;http://dx.doi.org/10.1126/science.1257452;25342807.0
217;4PND;relative of another de novo design;DE NOVO PROTEIN             ;23-MAY-14;C.W.WOOD,A.J.BURTON,A.R.THOMSON,R.L.BRADY,D.N.WOOLFSON               ;http://dx.doi.org/10.1126/science.1257452;25342807.0
218;4QFV;relative of another de novo design;DE NOVO PROTEIN             ;21-MAY-14;A.S.ETHAYATHULLA,E.B.TIKHONOVA,L.GUAN                                ;http://dx.doi.org/10.1038/srep08070;25627011.0
219;4QTR;original de novo design;DE NOVO DESIGN/DNA           ;08-JUL-14;Y.MOU,S.L.MAYO                                                       ;http://dx.doi.org/10.1038/nature14874;26331548.0
220;4NDL;original de novo design;DE NOVO PROTEIN             ;26-OCT-13;Y.MOU,P.S.HUANG,F.C.HSU,S.J.HUANG,S.L.MAYO                           ;http://dx.doi.org/10.1073/pnas.1505072112;26269568.0
221;4OYD;original de novo design;VIRAL PROTEIN/INHIBITOR         ;11-FEB-14;B.SHEN,E.PROCKO,D.BAKER,B.STODDARD                                   ;http://dx.doi.org/10.1016/j.cell.2014.04.034;24949974.0
222;4R80;original de novo design;DE NOVO PROTEIN             ;29-AUG-14;R.GUAN,E.MARCOS,P.O'CONNELL,J.SEETHARAMAN,H.JANJUA,R.XIAO,M.MAGLAQUI, T.B.ACTON,J.K.EVERETT,D.BAKER,G.T.MONTELIONE,NORTHEAST STRUCTURAL    GENOMICS CONSORTIUM (NESG)                                          ;;
223;4RJV;original de novo design;DE NOVO PROTEIN             ;09-OCT-14;P.T.O'CONNELL,Y.-R.LIN,R.GUAN,N.KOGA,R.KOGA,J.SEETHARAMAN,H.JANJUA,   R.XIAO,M.MAGLAQUI,J.K.EVERETT,T.B.ACTON,D.BAKER,G.T.MONTELIONE,      NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)                     ;;
224;5GAJ;original de novo design;DE NOVO PROTEIN             ;01-DEC-15;G.LIU,J.CASTELLLANOS,R.KOGA,N.KOGA,R.XIAO,K.PEDERSON,H.JANJUA,        E.KOHAN,T.B.ACTON,G.KORNHABER,J.EVERETT,D.BAKER,G.T.MONTELIONE,      NORTHEAST STRUCTURAL GENOMICS CONSORTIUM (NESG)                     ;;
